Name,Coordinates
Ad Aras,"38.410865,38.688269"
Ad Aras,"38.5,-0.5"
Ad Aras,"38.5,-3.5"
Ad Arvalla,"36.016818,8.200694"
Ad Atticille,"36.633001,10.700285"
Ad Basante,"45.096804,18.69819"
Ad Basilicam Diadumene,"35.416667,6.116665"
Ad Bivium,"41.74832945,12.97546265"
Ad Calceum Herculis,"35.221955,5.707622"
Ad calem,"43.546796,12.648528"
Ad Calorem,"41.072616,14.937736"
Ad Capsum Ultimum,"30.852128,17.883257"
Ad Casas Caesarianas,"43.75,11.75"
Ad Centenarium,"42.536669,2.839775"
Ad Centesimum,"42.774676,13.311745"
Ad Centuriones,"42.536669,2.839775"
Ad Cerasias,"45.8935235,12.0028335"
Ad Columnam,"38.191434,15.651754"
Ad confluentes,"44.089401,12.39517"
Ad cypsaria Taberna,"32.957257,12.002946"
Ad Decem Pagos,"48.78451,6.75762"
Ad Decimum,"36.76865,10.204022"
Ad Decimum,"40.690798,22.785385"
Ad Decimum,"40.803537,17.516039"
Ad Decimum,"41.756933,12.43771"
Ad Decimum,"41.803045,12.636344"
Ad Decumum,"37.910599,-4.714118"
Ad Dianam,"35.7366345,6.1344055"
Ad Dianam,"41.155769,20.333752"
Ad Dianam,"43.508516,16.389936"
Ad Dracones,"35.3826,-0.957499"
Ad Drinum,"44.387977,19.104152"
Ad Duas Lauros,"41.878938,12.548943"
Ad Duo Flumina,"35.232402,5.937906"
Ad Duo Solaria,"38.342214,-3.103507"
Ad Duodecimum,"40.25,18.25"
Ad Duodecimum,"40.782372,21.8631435"
Ad Duodecimum,"41.25,24.25"
Ad Duos Pontes,"42.433655,-8.648061"
Ad Ello,"38.478014,-0.790495"
Ad Ficum,"31.397714,15.726925"
Ad Figlinas,"44.437188,8.8872"
Ad Finem,"44.562661,5.958949"
Ad Finem,"45.461781,11.720524"
Ad Fines,"36.75,33.75"
Ad Fines,"41.5,1.5"
Ad Fines,"42.5,22.5"
Ad Fines,"43.25,10.25"
Ad Fines,"43.5,21.5"
Ad Fines,"43.75,11.75"
Ad Fines,"44.906786,17.301666"
Ad Fines,"45.25,7.25"
Ad Fines,"45.5,16.5"
Ad Fines,"47.5950575,8.9574465"
Ad fl. Tigrim,"37.324342,42.190748"
Ad Flexum,"41.4464211973,13.9677794829"
Ad Flexum,"45.25,10.75"
Ad Flexum,"47.87441,17.26939"
